observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,profund_solum
unidade,-,-,m,m,m,-,-,-,-,-,-,m^2,-,cm
ACC-11003-2008,xx-xx-2008,EPSG:31982,"221652,1875","6715174,6342",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-11004-2008,xx-xx-2008,EPSG:31982,"221674,5938","6715174,6333",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-11005-2008,xx-xx-2008,EPSG:31982,"221697,0000","6715174,6416",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-11006-2008,xx-xx-2008,EPSG:31982,"221719,4063","6715174,6408",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-12002-2008,xx-xx-2008,EPSG:31982,"221629,7813","6715152,2241",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-12003-2008,xx-xx-2008,EPSG:31982,"221652,1875","6715152,2326",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-12004-2008,xx-xx-2008,EPSG:31982,"221674,5938","6715152,2316",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-12005-2008,xx-xx-2008,EPSG:31982,"221697,0000","6715152,2309",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-13002-2008,xx-xx-2008,EPSG:31982,"221629,7813","6715129,8132",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-13003-2008,xx-xx-2008,EPSG:31982,"221652,1875","6715129,8216",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-13004-2008,xx-xx-2008,EPSG:31982,"221674,5938","6715129,8209",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
ACC-13005-2008,xx-xx-2008,EPSG:31982,"221697,0000","6715129,8199",8,GPS,BR,RS,Santa Maria,simples,1,"0,04",-,-
